RackBase,Row,Front,Rear,Floor,TileNumber,Building,Hall,MACLeft,SerialNumberLeft,MakerLeft,ModelLeft,ControlUnitIPLeft,Count,MACRight,SerialNumberRight,MakerRight,ModelRight,ControlUnitIPRight
H1WX7,WX,X,W,2,7,Mill Race,1,00:0D:18:E4:35:AA,688D-AA51-B77B-4355,Raritan,PX3-5872XV-E2M5P1V2,192.168.0.92,92,00:0D:06:D2:23:F8,42E6-8FAF-9DBA-467C,Raritan,PX3-5872XV-E2M5P1V2,192.168.0.200
H1WX8,WX,X,W,2,8,Mill Race,1,00:0D:9C:95:A9:42,999B-8ED1-7725-4562,Raritan,PX3-5872XV-E2M5P1V2,192.168.0.93,93,00:0D:6A:72:F7:29,2E36-E01F-E985-4887,Raritan,PX3-5872XV-E2M5P1V2,192.168.0.201
H1WX9,WX,X,W,2,9,Mill Race,1,00:0D:FA:35:96:F3,3B85-36D4-3C4C-4734,Raritan,PX3-5872XV-E2M5P1V2,192.168.0.94,94,00:0D:47:23:64:C1,D08A-6732-1C01-4054,Raritan,PX3-5872XV-E2M5P1V2,192.168.0.202
H1WX10,WX,X,W,2,10,Mill Race,1,00:0D:ED:ED:61:94,BF61-C6B2-B685-4690,Raritan,PX3-5872XV-E2M5P1V2,192.168.0.95,95,00:0D:B2:BA:4E:E8,94BD-E1DD-DEBD-4992,Raritan,PX3-5872XV-E2M5P1V2,192.168.0.203
H1WX11,WX,X,W,2,11,Mill Race,1,00:0D:C1:8E:DE:44,8EE0-BC17-9A61-4FC5,Raritan,PX3-5872XV-E2M5P1V2,192.168.0.96,96,00:0D:9F:52:A2:88,6C94-6310-9855-461B,Raritan,PX3-5872XV-E2M5P1V2,192.168.0.204
H1WX12,WX,X,W,2,12,Mill Race,1,00:0D:2F:3E:43:E5,D541-FCC1-1768-435D,Raritan,PX3-5872XV-E2M5P1V2,192.168.0.97,97,00:0D:73:02:87:39,741B-C15D-6A4B-4EFB,Raritan,PX3-5872XV-E2M5P1V2,192.168.0.205
H1WX13,WX,X,W,2,13,Mill Race,1,00:0D:E8:23:64:61,00DB-E860-9A60-4937,Raritan,PX3-5872XV-E2M5P1V2,192.168.0.98,98,00:0D:D7:A3:F4:DA,5F5E-960C-7084-4D0E,Raritan,PX3-5872XV-E2M5P1V2,192.168.0.206
H1WX14,WX,X,W,2,14,Mill Race,1,00:0D:4C:5B:D9:82,4CAD-E770-6F53-4E2C,Raritan,PX3-5872XV-E2M5P1V2,192.168.0.99,99,00:0D:55:53:E9:02,09E0-1321-5D5C-4285,Raritan,PX3-5872XV-E2M5P1V2,192.168.0.207
H1WX20,WX,X,W,2,20,Mill Race,1,00:0D:39:FC:46:B3,8667-9ADE-5AA9-4B9E,Raritan,PX3-5872XV-E2M5P1V2,192.168.0.100,100,00:0D:39:F5:55:2B,F117-6CB6-C6E6-41F0,Raritan,PX3-5872XV-E2M5P1V2,192.168.0.208
H1WX21,WX,X,W,2,21,Mill Race,1,00:0D:1D:A6:B1:D3,1B94-48D1-A448-4F89,Raritan,PX3-5872XV-E2M5P1V2,192.168.0.101,101,00:0D:9D:A5:2A:52,29C9-851C-6D4A-42AD,Raritan,PX3-5872XV-E2M5P1V2,192.168.0.209
H1WX22,WX,X,W,2,22,Mill Race,1,00:0D:11:4E:9E:64,D3E4-CEAA-56F8-4105,Raritan,PX3-5872XV-E2M5P1V2,192.168.0.102,102,00:0D:7A:BE:9D:F4,2E15-8F91-787C-4F2E,Raritan,PX3-5872XV-E2M5P1V2,192.168.0.210
H1WX23,WX,X,W,2,23,Mill Race,1,00:0D:FF:FE:82:AC,8726-61C3-82D7-460F,Raritan,PX3-5872XV-E2M5P1V2,192.168.0.103,103,00:0D:DE:EE:02:A5,67B8-BA9A-0C0F-4160,Raritan,PX3-5872XV-E2M5P1V2,192.168.0.211
H1WX24,WX,X,W,2,24,Mill Race,1,00:0D:D3:9F:EF:CD,85BF-E44A-172F-431C,Raritan,PX3-5872XV-E2M5P1V2,192.168.0.104,104,00:0D:52:8E:DF:44,8D97-7458-D7A8-4B45,Raritan,PX3-5872XV-E2M5P1V2,192.168.0.212
H1WX25,WX,X,W,2,25,Mill Race,1,00:0D:37:4F:C4:F6,D604-37FA-ECBF-4895,Raritan,PX3-5872XV-E2M5P1V2,192.168.0.105,105,00:0D:84:73:98:4A,CDF6-A2BD-9B5B-4619,Raritan,PX3-5872XV-E2M5P1V2,192.168.0.213
H1WX26,WX,X,W,2,26,Mill Race,1,00:0D:14:E7:39:1D,D40B-ED3C-846C-4923,Raritan,PX3-5872XV-E2M5P1V2,192.168.0.106,106,00:0D:E8:24:05:E2,2067-DFFC-B5F9-49E0,Raritan,PX3-5872XV-E2M5P1V2,192.168.0.214
H1WX27,WX,X,W,2,27,Mill Race,1,00:0D:98:98:AC:4F,4C6A-6E90-B6B7-45FF,Raritan,PX3-5872XV-E2M5P1V2,192.168.0.107,107,00:0D:CC:CC:FA:83,AC09-F4F3-F33E-4417,Raritan,PX3-5872XV-E2M5P1V2,192.168.0.215
H1WX28,WX,X,W,2,28,Mill Race,1,00:0D:F6:38:99:E6,BD62-E259-CF4D-4480,Raritan,PX3-5872XV-E2M5P1V2,192.168.0.108,108,00:0D:4A:7C:CD:32,A5C6-7ABD-B6A6-46B4,Raritan,PX3-5872XV-E2M5P1V2,192.168.0.216
